concept_id,canonical_label_en,domain,language,language_name,lemma,brief_description,near_synonyms_seed,antonyms_seed,forms_seed,context_examples_seed,operator_tags,semantic_mass_seed,phase_seed_rad,grammar_case_marking,grammar_fixed_word_order,grammar_gender_marking,grammar_article_system,grammar_aspect_marking,grammar_preposition_load,grammar_inflection_load,grammar_topic_focus_particles
concept:dark,darkness,perception,de,German,Dunkelheit,"Abwesenheit von Licht, Verhüllung oder Unsicherheit",Schatten | Finsternis,Licht | Helligkeit,Dunkelheit | Dunkelheit als Begriff | Dunkelheit im Kontext,Dunkelheit bildet einen lokalen Bedeutungsattraktor.,hides | not | inside,0.8125,0.872665,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:dark,darkness,perception,fr,French,obscurité,"absence de lumière, dissimulation ou incertitude",ombre | ténèbres,lumière | clarté,obscurité | obscurité comme concept | obscurité en contexte,Obscurité forme un attracteur sémantique local.,hides | not | inside,0.8125,0.872665,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:dark,darkness,perception,es,Spanish,oscuridad,"ausencia de luz, ocultamiento o incertidumbre",sombra | tiniebla,luz | claridad,oscuridad | oscuridad como concepto | oscuridad en contexto,Oscuridad forma un atractor semántico local.,hides | not | inside,0.8125,0.872665,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:life,life,biological,pl,Polish,życie,"proces organizacji, wzrostu, przetrwania i relacji",istnienie | żywot,śmierć | martwota,życie | życie jako hasło | życie w kontekście,Życie tworzy lokalny atraktor sensu.,be | with | before | after,0.8562,1.047198,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:life,life,biological,en,English,life,"process of organization, growth, survival and relation",existence | living,death | lifelessness,life | life | life as concept,Life forms a local semantic attractor.,be | with | before | after,0.8562,1.047198,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:life,life,biological,de,German,Leben,"Prozess von Organisation, Wachstum, Überleben und Beziehung",Existenz | Lebendigkeit,Tod | Leblosigkeit,Leben | Leben als Begriff | Leben im Kontext,Leben bildet einen lokalen Bedeutungsattraktor.,be | with | before | after,0.8562,1.047198,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:life,life,biological,fr,French,vie,"processus d’organisation, croissance, survie et relation",existence | vivant,mort | inertie,vie | vie comme concept | vie en contexte,Vie forme un attracteur sémantique local.,be | with | before | after,0.8562,1.047198,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:life,life,biological,es,Spanish,vida,"proceso de organización, crecimiento, supervivencia y relación",existencia | vivencia,muerte | inercia,vida | vida como concepto | vida en contexto,Vida forma un atractor semántico local.,be | with | before | after,0.8562,1.047198,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:death,death,biological,pl,Polish,śmierć,zakończenie życia lub granica procesu żywego,zgon | koniec,życie | narodziny,śmierć | śmierć jako hasło | śmierć w kontekście,Śmierć tworzy lokalny atraktor sensu.,after | not | without,0.9,1.22173,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:death,death,biological,en,English,death,ending of life or boundary of living process,end | demise,life | birth,death | death | death as concept,Death forms a local semantic attractor.,after | not | without,0.9,1.22173,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:death,death,biological,de,German,Tod,Ende des Lebens oder Grenze lebendiger Prozesse,Ende | Sterben,Leben | Geburt,Tod | Tod als Begriff | Tod im Kontext,Tod bildet einen lokalen Bedeutungsattraktor.,after | not | without,0.9,1.22173,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:death,death,biological,fr,French,mort,fin de la vie ou limite du processus vivant,fin | décès,vie | naissance,mort | mort comme concept | mort en contexte,Mort forme un attracteur sémantique local.,after | not | without,0.9,1.22173,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:death,death,biological,es,Spanish,muerte,fin de la vida o límite del proceso vivo,fin | fallecimiento,vida | nacimiento,muerte | muerte como concepto | muerte en contexto,Muerte forma un atractor semántico local.,after | not | without,0.9,1.22173,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:body,body,embodiment,pl,Polish,ciało,materialna forma organizmu lub nośnik działania,organizm | postać,umysł | duch,ciało | ciało jako hasło | ciało w kontekście,Ciało tworzy lokalny atraktor sensu.,has_part | inside | contains,0.55,1.396263,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:body,body,embodiment,en,English,body,material form of an organism or carrier of action,organism | form,mind | spirit,body | bodys | body as concept,Body forms a local semantic attractor.,has_part | inside | contains,0.55,1.396263,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:body,body,embodiment,de,German,Körper,materielle Form eines Organismus oder Träger des Handelns,Leib | Organismus,Geist | Seele,Körper | Körper als Begriff | Körper im Kontext,Körper bildet einen lokalen Bedeutungsattraktor.,has_part | inside | contains,0.55,1.396263,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:body,body,embodiment,fr,French,corps,forme matérielle d’un organisme ou porteur d’action,organisme | forme,esprit | âme,corps | corps comme concept | corps en contexte,Corps forme un attracteur sémantique local.,has_part | inside | contains,0.55,1.396263,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:body,body,embodiment,es,Spanish,cuerpo,forma material de un organismo o soporte de acción,organismo | forma,mente | espíritu,cuerpo | cuerpo como concepto | cuerpo en contexto,Cuerpo forma un atractor semántico local.,has_part | inside | contains,0.55,1.396263,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:mind,mind,cognitive,pl,Polish,umysł,"pole myślenia, pamięci, uwagi i interpretacji",świadomość | myśl,ciało | materia,umysł | umysł jako hasło | umysł w kontekście,Umysł tworzy lokalny atraktor sensu.,knows | believes | doubts,0.5938,1.570796,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:mind,mind,cognitive,en,English,mind,"field of thought, memory, attention and interpretation",thought | consciousness,body | matter,mind | minds | mind as concept,Mind forms a local semantic attractor.,knows | believes | doubts,0.5938,1.570796,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:mind,mind,cognitive,de,German,Geist,"Feld von Denken, Erinnerung, Aufmerksamkeit und Interpretation",Bewusstsein | Denken,Körper | Materie,Geist | Geist als Begriff | Geist im Kontext,Geist bildet einen lokalen Bedeutungsattraktor.,knows | believes | doubts,0.5938,1.570796,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:mind,mind,cognitive,fr,French,esprit,"champ de pensée, mémoire, attention et interprétation",pensée | conscience,corps | matière,esprit | esprit comme concept | esprit en contexte,Esprit forme un attracteur sémantique local.,knows | believes | doubts,0.5938,1.570796,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:mind,mind,cognitive,es,Spanish,mente,"campo de pensamiento, memoria, atención e interpretación",pensamiento | conciencia,cuerpo | materia,mente | mente como concepto | mente en contexto,Mente forma un atractor semántico local.,knows | believes | doubts,0.5938,1.570796,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:time,time,spacetime,pl,Polish,czas,"wymiar kolejności, trwania i zmiany",trwanie | moment,bezczas | wieczność,czas | czas jako hasło | czas w kontekście,Czas tworzy lokalny atraktor sensu.,before | after | when,0.6375,1.745329,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:time,time,spacetime,en,English,time,"dimension of sequence, duration and change",duration | moment,timelessness | eternity,time | times | time as concept,Time forms a local semantic attractor.,before | after | when,0.6375,1.745329,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:time,time,spacetime,de,German,Zeit,"Dimension von Reihenfolge, Dauer und Veränderung",Dauer | Moment,Zeitlosigkeit | Ewigkeit,Zeit | Zeit als Begriff | Zeit im Kontext,Zeit bildet einen lokalen Bedeutungsattraktor.,before | after | when,0.6375,1.745329,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:time,time,spacetime,fr,French,temps,"dimension de séquence, durée et changement",durée | moment,intemporalité | éternité,temps | temps comme concept | temps en contexte,Temps forme un attracteur sémantique local.,before | after | when,0.6375,1.745329,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:time,time,spacetime,es,Spanish,tiempo,"dimensión de secuencia, duración y cambio",duración | momento,atemporalidad | eternidad,tiempo | tiempo como concepto | tiempo en contexto,Tiempo forma un atractor semántico local.,before | after | when,0.6375,1.745329,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:space,space,spacetime,pl,Polish,przestrzeń,"pole rozciągłości, położenia i relacji geometrycznych",miejsce | obszar,punkt | brak miejsca,przestrzeń | przestrzeń jako hasło | przestrzeń w kontekście,Przestrzeń tworzy lokalny atraktor sensu.,inside | outside | on | under | through,0.6813,1.919862,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:space,space,spacetime,en,English,space,"field of extension, location and geometric relations",place | area,point | no-space,space | spaces | space as concept,Space forms a local semantic attractor.,inside | outside | on | under | through,0.6813,1.919862,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:space,space,spacetime,de,German,Raum,"Feld von Ausdehnung, Lage und geometrischen Beziehungen",Ort | Bereich,Punkt | Raumlosigkeit,Raum | Raum als Begriff | Raum im Kontext,Raum bildet einen lokalen Bedeutungsattraktor.,inside | outside | on | under | through,0.6813,1.919862,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:space,space,spacetime,fr,French,espace,"champ d’extension, localisation et relations géométriques",lieu | zone,point | absence d’espace,espace | espace comme concept | espace en contexte,Espace forme un attracteur sémantique local.,inside | outside | on | under | through,0.6813,1.919862,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:space,space,spacetime,es,Spanish,espacio,"campo de extensión, ubicación y relaciones geométricas",lugar | área,punto | sin espacio,espacio | espacio como concepto | espacio en contexto,Espacio forma un atractor semántico local.,inside | outside | on | under | through,0.6813,1.919862,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:motion,motion,dynamics,pl,Polish,ruch,"zmiana położenia, stanu lub relacji w czasie",przemieszczenie | zmiana,spoczynek | bezruch,ruch | ruch jako hasło | ruch w kontekście,Ruch tworzy lokalny atraktor sensu.,through | from | to | after,0.725,2.094395,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:motion,motion,dynamics,en,English,motion,"change of position, state or relation over time",movement | change,rest | stillness,motion | motions | motion as concept,Motion forms a local semantic attractor.,through | from | to | after,0.725,2.094395,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:motion,motion,dynamics,de,German,Bewegung,"Veränderung von Lage, Zustand oder Beziehung in der Zeit",Verschiebung | Veränderung,Ruhe | Stillstand,Bewegung | Bewegung als Begriff | Bewegung im Kontext,Bewegung bildet einen lokalen Bedeutungsattraktor.,through | from | to | after,0.725,2.094395,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:motion,motion,dynamics,fr,French,mouvement,"changement de position, état ou relation dans le temps",déplacement | changement,repos | immobilité,mouvement | mouvement comme concept | mouvement en contexte,Mouvement forme un attracteur sémantique local.,through | from | to | after,0.725,2.094395,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:motion,motion,dynamics,es,Spanish,movimiento,"cambio de posición, estado o relación en el tiempo",desplazamiento | cambio,reposo | quietud,movimiento | movimiento como concepto | movimiento en contexto,Movimiento forma un atractor semántico local.,through | from | to | after,0.725,2.094395,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:rest,rest,dynamics,pl,Polish,spoczynek,"stan braku ruchu, pauzy lub względnej stabilności",bezruch | pauza,ruch | zmiana,spoczynek | spoczynek jako hasło | spoczynek w kontekście,Spoczynek tworzy lokalny atraktor sensu.,not | after | before,0.7688,2.268928,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:rest,rest,dynamics,en,English,rest,"state of no motion, pause or relative stability",stillness | pause,motion | change,rest | rests | rest as concept,Rest forms a local semantic attractor.,not | after | before,0.7688,2.268928,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:rest,rest,dynamics,de,German,Ruhe,"Zustand ohne Bewegung, Pause oder relative Stabilität",Stillstand | Pause,Bewegung | Veränderung,Ruhe | Ruhe als Begriff | Ruhe im Kontext,Ruhe bildet einen lokalen Bedeutungsattraktor.,not | after | before,0.7688,2.268928,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:rest,rest,dynamics,fr,French,repos,"état sans mouvement, pause ou stabilité relative",immobilité | pause,mouvement | changement,repos | repos comme concept | repos en contexte,Repos forme un attracteur sémantique local.,not | after | before,0.7688,2.268928,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:rest,rest,dynamics,es,Spanish,reposo,"estado sin movimiento, pausa o estabilidad relativa",quietud | pausa,movimiento | cambio,reposo | reposo como concepto | reposo en contexto,Reposo forma un atractor semántico local.,not | after | before,0.7688,2.268928,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:force,force,physics,pl,Polish,siła,"wpływ powodujący zmianę ruchu, stanu lub struktury",moc | nacisk,słabość | bezsilność,siła | siła jako hasło | siła w kontekście,Siła tworzy lokalny atraktor sensu.,causes | transforms | through,0.8125,2.443461,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:force,force,physics,en,English,force,"influence causing change of motion, state or structure",power | pressure,weakness | powerlessness,force | forces | force as concept,Force forms a local semantic attractor.,causes | transforms | through,0.8125,2.443461,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:force,force,physics,de,German,Kraft,"Einfluss, der Bewegung, Zustand oder Struktur verändert",Macht | Druck,Schwäche | Ohnmacht,Kraft | Kraft als Begriff | Kraft im Kontext,Kraft bildet einen lokalen Bedeutungsattraktor.,causes | transforms | through,0.8125,2.443461,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:force,force,physics,fr,French,force,"influence causant changement de mouvement, état ou structure",puissance | pression,faiblesse | impuissance,force | force comme concept | force en contexte,Force forme un attracteur sémantique local.,causes | transforms | through,0.8125,2.443461,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:force,force,physics,es,Spanish,fuerza,"influencia que cambia movimiento, estado o estructura",potencia | presión,debilidad | impotencia,fuerza | fuerza como concepto | fuerza en contexto,Fuerza forma un atractor semántico local.,causes | transforms | through,0.8125,2.443461,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:energy,energy,physics,pl,Polish,energia,"zdolność do pracy, zmiany i podtrzymania procesu",moc | zasób,wyczerpanie | bezwład,energia | energia jako hasło | energia w kontekście,Energia tworzy lokalny atraktor sensu.,transforms | has_property | causes,0.8562,2.617994,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:energy,energy,physics,en,English,energy,"capacity for work, change and sustaining process",power | capacity,exhaustion | inertia,energy | energys | energy as concept,Energy forms a local semantic attractor.,transforms | has_property | causes,0.8562,2.617994,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:energy,energy,physics,de,German,Energie,"Fähigkeit zu Arbeit, Veränderung und Prozesshaltung",Kraft | Kapazität,Erschöpfung | Trägheit,Energie | Energie als Begriff | Energie im Kontext,Energie bildet einen lokalen Bedeutungsattraktor.,transforms | has_property | causes,0.8562,2.617994,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:energy,energy,physics,fr,French,énergie,"capacité de travail, changement et maintien de processus",puissance | capacité,épuisement | inertie,énergie | énergie comme concept | énergie en contexte,Énergie forme un attracteur sémantique local.,transforms | has_property | causes,0.8562,2.617994,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:energy,energy,physics,es,Spanish,energía,"capacidad de trabajo, cambio y sostén de proceso",potencia | capacidad,agotamiento | inercia,energía | energía como concepto | energía en contexto,Energía forma un atractor semántico local.,transforms | has_property | causes,0.8562,2.617994,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:matter,matter,physics,pl,Polish,materia,"substancjalny nośnik masy, struktury i przemiany",substancja | tworzywo,pustka | informacja,materia | materia jako hasło | materia w kontekście,Materia tworzy lokalny atraktor sensu.,contains | has_property | transforms,0.9,2.792527,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:matter,matter,physics,en,English,matter,"substantial carrier of mass, structure and transformation",substance | material,void | information,matter | matters | matter as concept,Matter forms a local semantic attractor.,contains | has_property | transforms,0.9,2.792527,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:matter,matter,physics,de,German,Materie,"substantieller Träger von Masse, Struktur und Verwandlung",Substanz | Stoff,Leere | Information,Materie | Materie als Begriff | Materie im Kontext,Materie bildet einen lokalen Bedeutungsattraktor.,contains | has_property | transforms,0.9,2.792527,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:matter,matter,physics,fr,French,matière,"support substantiel de masse, structure et transformation",substance | matériau,vide | information,matière | matière comme concept | matière en contexte,Matière forme un attracteur sémantique local.,contains | has_property | transforms,0.9,2.792527,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:matter,matter,physics,es,Spanish,materia,"soporte sustancial de masa, estructura y transformación",sustancia | material,vacío | información,materia | materia como concepto | materia en contexto,Materia forma un atractor semántico local.,contains | has_property | transforms,0.9,2.792527,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:information,information,informational,pl,Polish,informacja,"różnica, wzorzec lub sygnał zdolny zmienić stan systemu",dane | wiadomość,szum | niewiedza,informacja | informacja jako hasło | informacja w kontekście,Informacja tworzy lokalny atraktor sensu.,means | contains | reveals,0.55,2.96706,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:information,information,informational,en,English,information,"difference, pattern or signal able to change a system state",data | message,noise | ignorance,information | information | information as concept,Information forms a local semantic attractor.,means | contains | reveals,0.55,2.96706,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:information,information,informational,de,German,Information,"Unterschied, Muster oder Signal, das Systemzustand ändern kann",Daten | Nachricht,Rauschen | Unwissen,Information | Information als Begriff | Information im Kontext,Information bildet einen lokalen Bedeutungsattraktor.,means | contains | reveals,0.55,2.96706,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:information,information,informational,fr,French,information,"différence, motif ou signal capable de changer un état de système",données | message,bruit | ignorance,information | information comme concept | information en contexte,Information forme un attracteur sémantique local.,means | contains | reveals,0.55,2.96706,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:information,information,informational,es,Spanish,información,"diferencia, patrón o señal capaz de cambiar un estado del sistema",datos | mensaje,ruido | ignorancia,información | información como concepto | información en contexto,Información forma un atractor semántico local.,means | contains | reveals,0.55,2.96706,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:truth,truth,epistemic,pl,Polish,prawda,"stan zgodności twierdzenia z rzeczywistością, dowodem lub koherencją",fakt | zgodność,kłamstwo | fałsz,prawda | prawda jako hasło | prawda w kontekście,Prawda tworzy lokalny atraktor sensu.,is | knows | proves,0.5938,3.141593,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:truth,truth,epistemic,en,English,truth,"state of agreement with reality, proof or coherence",fact | validity,lie | falsehood,truth | truth | truth as concept,Truth forms a local semantic attractor.,is | knows | proves,0.5938,3.141593,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
